,Borough,Neighborhood,latitude,longitude,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
3,DWARKA,DABRI VILLAGE,28.6107697,77.09110591,Movie Theater,Department Store,Grocery Store,Women's Store,Food Court,Diner,Donut Shop,Eastern European Restaurant,Electronics Store,English Restaurant
44,NEW DELHI,ALI GANJ,28.6408936,77.2368691,Hostel,Indian Restaurant,Hotel,Road,Movie Theater,Falafel Restaurant,Food,Flea Market,Fast Food Restaurant,English Restaurant
45,NEW DELHI,ANSARI NAGAR (EAST),28.6442872,77.2441881,Indian Restaurant,Restaurant,Road,Women's Store,Fabric Shop,Food,Flea Market,Fast Food Restaurant,Falafel Restaurant,English Restaurant
46,NEW DELHI,ANSARI NAGAR (WEST),28.6442872,77.2441881,Indian Restaurant,Restaurant,Road,Women's Store,Fabric Shop,Food,Flea Market,Fast Food Restaurant,Falafel Restaurant,English Restaurant
47,NEW DELHI,ARMY PUBLIC SCHOOL,28.6018601,77.12437256,Department Store,Food Truck,Dim Sum Restaurant,Diner,Donut Shop,Eastern European Restaurant,Electronics Store,English Restaurant,Fabric Shop,Falafel Restaurant
48,NEW DELHI,ASHOK ROAD,28.6716045,77.155291,Train Station,Women's Store,Food Truck,Dim Sum Restaurant,Diner,Donut Shop,Eastern European Restaurant,Electronics Store,English Restaurant,Fabric Shop
49,NEW DELHI,ATUL GROVER ROAD,28.6242656,77.2232843,Café,Performing Arts Venue,South Indian Restaurant,Historic Site,Mediterranean Restaurant,Fast Food Restaurant,Coffee Shop,Hotel,BBQ Joint,Bakery
50,NEW DELHI,AURANGZEB ROAD,28.5465673,77.3069689,Hotel,Park,Indian Restaurant,Fast Food Restaurant,Food Truck,Diner,Donut Shop,Eastern European Restaurant,Electronics Store,English Restaurant
51,NEW DELHI,B. K. DUTT COLONY,28.57144105,77.1737088,Multiplex,Coffee Shop,Restaurant,Park,Shopping Mall,Convenience Store,Thai Restaurant,Asian Restaurant,Electronics Store,Comfort Food Restaurant
52,NEW DELHI,BABA KHADAK SINGH MARG,28.6517178,77.2219388,,,,,,,,,,
53,NEW DELHI,BABA KHARAG SINGH MARG,28.6517178,77.2219388,,,,,,,,,,
54,NEW DELHI,BABAR ROAD,28.629319,77.2338834,Café,Indian Restaurant,Theater,Bakery,Arcade,Art Gallery,Women's Store,Falafel Restaurant,Food & Drink Shop,Food
55,NEW DELHI,BANGALI MARKET,28.6517178,77.2219388,,,,,,,,,,
56,NEW DELHI,BANGLA SAHIB ROAD,28.6335305,77.208607,Bakery,Bengali Restaurant,Hotel,Café,Indian Restaurant,Theater,Miscellaneous Shop,Fabric Shop,Snack Place,Japanese Restaurant
57,NEW DELHI,BAPA NAGAR,28.60604735,77.23642528,Cafeteria,Park,Art Gallery,Food Truck,Diner,Donut Shop,Eastern European Restaurant,Electronics Store,English Restaurant,Fabric Shop
58,NEW DELHI,BARAKHAMBA ROAD,28.6269519,77.22995,Theater,Bakery,Art Gallery,Indian Restaurant,Café,Arcade,Concert Hall,Light Rail Station,Hotel Bar,Electronics Store
59,NEW DELHI,BASANT LANE,28.6364089,77.2164582,Indian Restaurant,Chinese Restaurant,Café,Bar,Dessert Shop,Hotel,Gym,South Indian Restaurant,Food & Drink Shop,Fast Food Restaurant
60,NEW DELHI,BHAGWAN DASS ROAD,28.57914175,77.25871662,Bakery,Asian Restaurant,Moving Target,Shopping Mall,Historic Site,Donut Shop,Eastern European Restaurant,Electronics Store,Diner,English Restaurant
61,NEW DELHI,CHELMSFORD ROAD,28.6385032,77.218552,Platform,Indian Restaurant,Hotel,Dessert Shop,Café,BBQ Joint,Fast Food Restaurant,Falafel Restaurant,Bar,Chinese Restaurant
62,NEW DELHI,CONNAUGHT PLACE,28.6313827,77.2197924,Indian Restaurant,Café,Bar,Chinese Restaurant,Coffee Shop,Lounge,Italian Restaurant,Pub,South Indian Restaurant,Deli / Bodega
63,NEW DELHI,COPERNICUS MARG,28.6211612,77.2316058,Concert Hall,Indian Restaurant,Art Gallery,Theater,Fabric Shop,Food & Drink Shop,Food,Flea Market,Fast Food Restaurant,Falafel Restaurant
64,NEW DELHI,FIROZSHAH ROAD,28.6517178,77.2219388,,,,,,,,,,
65,NEW DELHI,GOLF LINKS,28.5959698,77.2311628,Golf Course,Spa,Fabric Shop,Food & Drink Shop,Food,Flea Market,Fast Food Restaurant,Falafel Restaurant,Women's Store,Food Truck
66,NEW DELHI,GURUDWARA RAKAB GANJ ROAD,28.6211014,77.2053441,Smoke Shop,Concert Hall,Spiritual Center,Food & Drink Shop,Historic Site,Diner,Donut Shop,Dim Sum Restaurant,Eastern European Restaurant,Food Court
67,NEW DELHI,HAILEY ROAD,28.6254321,77.225866,Hotel Bar,Indian Restaurant,Café,Performing Arts Venue,Historic Site,Dim Sum Restaurant,Diner,Donut Shop,Eastern European Restaurant,Food & Drink Shop
68,NEW DELHI,HANUMAN ROAD,28.6282756,77.2128306,Indian Restaurant,Historic Site,Indie Movie Theater,Lounge,Light Rail Station,Café,Italian Restaurant,Gift Shop,Hotel,Pub
69,NEW DELHI,JANPATH,28.6088598,77.2181649,History Museum,Boutique,Business Service,Construction & Landscaping,Women's Store,Fast Food Restaurant,Food & Drink Shop,Food,Flea Market,Fabric Shop
70,NEW DELHI,JASWANT SINGH ROAD,28.6191706,77.22605,Indian Restaurant,Women's Store,French Restaurant,Diner,Donut Shop,Eastern European Restaurant,Electronics Store,English Restaurant,Fabric Shop,Falafel Restaurant
71,NEW DELHI,JOR BAGH,28.6766079,77.1586915,,,,,,,,,,
72,NEW DELHI,K G MARG,28.5707896,77.17437152,Multiplex,Coffee Shop,Shopping Mall,Thai Restaurant,Restaurant,Asian Restaurant,Comfort Food Restaurant,Convenience Store,Electronics Store,Eastern European Restaurant
73,NEW DELHI,KAKA NAGAR,28.6028192,77.23869565,Indian Restaurant,Hotel,Italian Restaurant,Gaming Cafe,North Indian Restaurant,Café,Convenience Store,Golf Course,Snack Place,Women's Store
74,NEW DELHI,KALI BARI MARG,28.6299273,77.2014966,Fried Chicken Joint,Theater,Women's Store,Fabric Shop,Food & Drink Shop,Food,Flea Market,Fast Food Restaurant,Falafel Restaurant,English Restaurant
75,NEW DELHI,KASHTURBA GANDHI MARG,28.6517178,77.2219388,,,,,,,,,,
76,NEW DELHI,KHAN MARKET,28.6001354,77.22649064,Café,Coffee Shop,Chinese Restaurant,Bar,Bookstore,Asian Restaurant,Indian Restaurant,Restaurant,Mexican Restaurant,Italian Restaurant
77,NEW DELHI,KIDWAI NAGAR (EAST),28.5723021,77.2141572,Clothing Store,Metro Station,Soccer Field,Falafel Restaurant,Food & Drink Shop,Food,Flea Market,Fast Food Restaurant,Women's Store,Food Truck
78,NEW DELHI,KIDWAI NAGAR (WEST),28.5717018,77.2045946,Northeast Indian Restaurant,Dim Sum Restaurant,Market,Restaurant,Spa,Women's Store,Falafel Restaurant,Flea Market,Fast Food Restaurant,English Restaurant
79,NEW DELHI,KIDWAI NAGAR WEST,28.5717018,77.2045946,Northeast Indian Restaurant,Dim Sum Restaurant,Market,Restaurant,Spa,Women's Store,Falafel Restaurant,Flea Market,Fast Food Restaurant,English Restaurant
80,NEW DELHI,KIDWAI NAGAR(EAST),28.5723021,77.2141572,Clothing Store,Metro Station,Soccer Field,Falafel Restaurant,Food & Drink Shop,Food,Flea Market,Fast Food Restaurant,Women's Store,Food Truck
